Year-Month,Hotel_room_occupancy_rate(%)
201912,61
202001,59
202002,29
202003,32
202004,34
202005,37
202006,44
202007,49
202008,50
202009,52
202010,55
202011,54
202012,58
202101,51
202102,52
202103,52
202104,57
202105,58
202106,64
202107,67
202108,71
202109,71
202110,71
202111,70
202112,72
202201,57
202202,55
202203,59
202204,65
202205,70
202206,75
202207,75
202208,72
202209,67
202210,59
202211,66
202212,72
202301,66
202302,78
202303,84
202304,86
202305,82
202306,82
202307,87
202308,87
202309,78
202310,83
202311,87
202312,87
202401,85
202402,86
202403,84
202404,84
202405,78
202406,81
202407,86
202408,90
202409,81
202410,87
202411,91
